"Group","File","Start","End","Active","DurFilenameS","DurFfprobeS","ProbeStatus","SizeMB","LastWrite","Suspect","Problem"
"108_visual","108_visual_2026-06-25_08-00-19_to_09-00-15.mp4","2026-06-25 08:00:19","2026-06-25 09:00:15","False","3596","",,"229.6","2026-06-25 09:00:15",,
"108_visual","108_visual_2026-06-25_09-00-15_to_10-00-09.mp4","2026-06-25 09:00:15","2026-06-25 10:00:09","False","3594","",,"219.8","2026-06-25 10:00:09",,
"108_visual","108_visual_2026-06-25_10-00-09_to_11-00-03.mp4","2026-06-25 10:00:09","2026-06-25 11:00:03","False","3594","",,"210.8","2026-06-25 11:00:03",,
"108_visual","108_visual_2026-06-25_11-00-03_to_12-00-57.mp4","2026-06-25 11:00:03","2026-06-25 12:00:57","False","3654","",,"214.5","2026-06-25 12:00:57",,
"108_visual","108_visual_2026-06-25_12-00-57_to_13-00-51.mp4","2026-06-25 12:00:57","2026-06-25 13:00:51","False","3594","",,"221.6","2026-06-25 13:00:51",,
"108_visual","108_visual_2026-06-25_13-00-51.mp4","2026-06-25 13:00:51","","True","","",,"0.8","2026-06-25 13:00:57",,
"108_visual","108_visual_2026-06-25_13-01-11.mp4","2026-06-25 13:01:11","","True","","",,"30.5","2026-06-25 13:08:45",,
"108_visual","108_visual_2026-06-25_13-08-59.mp4","2026-06-25 13:08:59","","True","","",,"25.3","2026-06-25 13:15:29",,
"108_visual","108_visual_2026-06-25_13-15-42_to_14-00-44.mp4","2026-06-25 13:15:42","2026-06-25 14:00:44","False","2702","",,"166.7","2026-06-25 14:00:44",,
"108_visual","108_visual_2026-06-25_14-00-44_to_15-00-38.mp4","2026-06-25 14:00:44","2026-06-25 15:00:38","False","3594","",,"234.7","2026-06-25 15:00:38",,
"108_visual","108_visual_2026-06-25_15-00-38_to_16-00-32.mp4","2026-06-25 15:00:38","2026-06-25 16:00:32","False","3594","",,"203.8","2026-06-25 16:00:32",,
"108_visual","108_visual_2026-06-25_16-00-32_to_16-04-48.mp4","2026-06-25 16:00:32","2026-06-25 16:04:48","False","256","",,"9.5","2026-06-25 16:04:31",,
"108_visual","108_visual_2026-06-25_16-04-48.mp4","2026-06-25 16:04:48","","True","","",,"159.5","2026-06-25 16:48:39",,
"108_visual","108_visual_2026-06-25_16-48-51.mp4","2026-06-25 16:48:51","","True","","",,"45.9","2026-06-25 16:59:32",,
"108_visual","108_visual_2026-06-25_17-00-31.mp4","2026-06-25 17:00:31","","True","","",,"14.3","2026-06-25 17:04:07",,
"108_visual","108_visual_2026-06-25_17-04-58.mp4","2026-06-25 17:04:58","","True","","",,"94","2026-06-25 17:27:00",,
