idx,clock,dur_s,samples,max_markers,max_corners,bw_IR,sat_frac,px_x,px_y,field_in_x,field_in_y,station,dist_in,station2,dist2_in
1,15:07:10,0.0,1,28,26,0,0.044,2297,1694,,,,,,
2,15:07:12,72.0,37,44,70,0,0.097,2179,1688,,,,,,
3,15:08:26,0.0,1,16,15,0,0.028,2197,1776,,,,,,
4,15:08:28,22.0,12,44,70,0,0.092,2166,1694,,,,,,
5,15:09:22,0.0,1,20,25,0,0.047,144,1651,,,,,,
6,15:09:24,4.0,3,27,41,0,0.067,181,1742,,,,,,
7,15:09:30,18.0,10,50,81,0,0.117,151,1625,,,,,,
8,15:10:40,56.0,29,18,22,0,0.101,2515,1111,,,,,,
9,15:11:38,0.0,1,13,11,0,0.008,2370,1199,,,,,,
10,15:11:40,16.0,9,17,20,0,0.107,2514,1115,,,,,,
11,15:11:58,0.0,1,44,69,0,0.001,2390,1077,,,,,,
12,15:12:00,36.0,19,50,82,0,0.084,2163,1078,,,,,,
13,15:12:38,0.0,1,49,73,0,0.0,2415,891,,,,,,
14,15:12:42,0.0,1,14,17,0,0.029,563,1143,,,,,,
15,15:12:44,2.1,2,13,10,0,0.005,517,926,,,,,,
16,15:12:48,22.0,12,54,88,0,0.033,625,954,,,,,,
17,15:13:12,0.0,1,40,62,0,0.015,646,1016,,,,,,
18,15:13:48,0.0,1,40,64,0,0.06,731,222,,,,,,
19,15:14:34,0.0,1,38,53,0,0.02,2416,219,,,,,,
20,15:14:36,0.0,1,38,52,0,0.01,2240,272,,,,,,
21,15:14:38,4.0,3,39,51,0,0.02,2227,335,,,,,,
22,15:14:44,20.0,11,51,82,0,0.086,2252,392,,,,,,
23,15:15:06,0.0,1,32,50,0,0.019,1997,188,,,,,,
24,15:15:08,6.0,4,47,76,0,0.08,1266,282,,,,,,
25,15:15:16,4.0,3,31,41,0,0.033,1212,319,,,,,,
26,15:15:22,2.0,2,47,76,0,0.062,1278,301,,,,,,
27,15:15:26,0.0,1,29,39,0,0.033,1213,281,,,,,,
28,15:15:28,18.0,10,49,80,0,0.072,1282,296,,,,,,
29,15:15:50,0.0,1,16,21,0,0.01,386,364,,,,,,
30,15:15:52,0.0,1,8,9,0,0.054,338,411,,,,,,
31,15:15:54,0.0,1,12,11,0,0.029,156,321,,,,,,
32,15:15:58,28.0,15,54,88,0,0.089,284,270,,,,,,
33,15:17:10,2.0,2,5,2,0,0.209,2479,53,,,,,,
34,15:17:14,20.0,11,9,7,0,0.21,2481,73,,,,,,
