idx,colour,area,upright_x,upright_y,stored_x,stored_y,station,dist_in
0,red,16885,4277.0,2032.0,127.0,4277.0,T42,4.2
1,red,14307,3443.9,1499.0,660.0,3443.9,T33,9.3
2,red,8423,5105.9,1353.0,806.0,5105.9,T53,7.9
3,red,5626,4286.8,951.0,1208.0,4286.8,,
4,lime,4837,2656.9,1903.0,256.0,2656.9,,
5,yellow,4436,1995.6,2159.0,0.0,1995.6,T22,2.6
6,red,4328,4916.2,575.0,1584.0,4916.2,,
7,red,4161,6456.2,2000.0,159.0,6456.2,T62,8.3
8,red,3946,3562.9,627.0,1532.0,3562.9,,
9,lime,3635,2917.3,1036.0,1123.0,2917.3,F23,24.1
10,red,3453,4357.9,2005.0,154.0,4357.9,,
11,red,3357,5950.5,1241.0,918.0,5950.5,T63,15.5
12,blue,2905,6157.1,899.0,1260.0,6157.1,,
13,red,2763,4192.4,349.0,1810.0,4192.4,,
14,blue,2754,7009.3,2133.0,26.0,7009.3,,
15,yellow,2588,5896.6,1773.0,386.0,5896.6,,
16,yellow,2396,5845.5,1731.0,428.0,5845.5,F52,4.5
17,red,2300,4221.4,934.0,1225.0,4221.4,T44,3.2
18,blue,2268,1895.5,1727.0,432.0,1895.5,F12,11.7
19,blue,2176,2183.1,1075.0,1084.0,2183.1,V13,21.2
20,red,1695,6276.7,657.0,1502.0,6276.7,V64,14.3
21,yellow,1541,5518.2,913.0,1246.0,5518.2,,
22,blue,1397,5882.9,437.0,1722.0,5882.9,T65,24.5
23,blue,1171,2401.5,553.0,1606.0,2401.5,,
24,lime,1138,2588.2,1905.0,254.0,2588.2,V22,11.7
25,red,953,6610.6,1144.0,1015.0,6610.6,F63,16.5
26,orange,887,2653.9,707.0,1452.0,2653.9,,
27,red,632,7006.8,1695.0,464.0,7006.8,V62,11.3
28,yellow,595,5281.9,372.0,1787.0,5281.9,,
29,lime,545,6611.4,879.0,1280.0,6611.4,T74,4.3
30,orange,456,2073.1,829.0,1330.0,2073.1,F14,20.5
31,lime,342,6313.8,497.0,1662.0,6313.8,T75,9.9
32,lime,310,3046.4,419.0,1740.0,3046.4,,
33,orange,258,1790.5,1065.0,1094.0,1790.5,T14,3.0
34,yellow,258,5452.5,849.0,1310.0,5452.5,,
35,lime,253,6949.4,1311.0,848.0,6949.4,T73,5.2
36,lime,239,3096.9,419.0,1740.0,3096.9,,
37,yellow,234,6140.4,1611.0,548.0,6140.4,,
38,orange,231,2195.4,1496.0,663.0,2195.4,T23,15.8
39,red,216,5646.5,551.0,1608.0,5646.5,,
40,orange,183,2011.2,631.0,1528.0,2011.2,T15,1.3
41,orange,170,2156.5,1479.0,680.0,2156.5,,
42,lime,151,6982.1,1350.0,809.0,6982.1,,
