idx,clock,dur_s,samples,max_markers,max_corners,bw_IR,sat_frac,px_x,px_y,field_in_x,field_in_y,station,dist_in,station2,dist2_in
1,15:04:38,0.0,1,5,2,0,0.073,276,1664,61.7,87.1,F12,20.7,T12,25.7
2,15:04:55,14.0,7,8,7,0,0.127,349,1699,61.1,94.6,F12,15.9,T12,29.1
3,15:05:11,0.0,1,6,2,0,0.024,612,1577,42.1,118.6,T13,12.6,F12,35.5
4,15:05:13,4.0,3,8,8,0,0.134,360,1704,60.9,95.7,F12,15.4,T12,29.7
5,15:05:25,0.0,1,12,6,0,0.092,954,1991,57.0,158.0,V13,17.2,T14,32.6
6,15:05:27,0.0,1,4,0,0,0.025,667,2760,122.8,136.4,T23,13.9,F23,31.6
7,15:05:35,17.1,7,4,3,0,0.202,1043,2044,57.3,167.6,V13,19.6,T14,25.6
8,15:05:54,2.0,2,7,4,0,0.129,938,1984,57.1,156.3,V13,17.1,T13,31.9
9,15:05:58,0.0,1,4,1,0,0.018,828,2361,89.7,149.0,V13,17.8,T23,27.5
10,15:06:28,0.0,1,4,0,0,0.06,1568,2766,99.0,227.5,T25,15.8,F14,29.4
11,15:06:30,0.0,1,5,1,0,0.103,1464,2240,55.1,213.1,F14,19.2,T15,30.6
12,15:07:16,3.9,3,5,5,0,0.218,33,1674,70.7,64.4,V11,15.2,T12,34.8
13,15:09:23,8.0,5,15,17,0,0.192,1265,2417,79.0,193.8,F14,18.5,T24,32.5
14,15:09:35,0.0,1,5,0,0,0.024,1403,2644,93.7,209.6,F14,19.6,T24,29.9
15,15:09:53,2.2,3,13,9,0,0.111,1539,2440,69.9,222.5,F14,11.8,T15,35.6
16,15:09:57,8.1,5,34,45,0,0.082,1577,2504,74.2,227.0,F14,15.4,T25,37.8
17,15:10:07,0.0,1,5,0,0,0.023,1652,2761,95.4,236.3,T25,15.0,F14,32.6
18,15:10:09,0.0,1,7,1,0,0.058,1396,3020,127.4,210.7,V24,18.8,T24,31.3
19,15:10:11,0.0,1,7,2,0,0.025,1662,2714,90.6,237.2,T25,19.7,F14,30.4
20,15:10:13,19.8,11,35,42,0,0.115,1587,2492,72.7,228.0,F14,16.5,T15,36.1
21,15:10:37,0.0,1,27,36,0,0.037,559,1439,35.2,111.4,T13,19.4,T12,34.9
22,15:12:43,2.4,3,12,14,0,0.044,1022,2706,110.8,171.0,T24,13.7,F23,37.9
23,15:12:47,22.1,12,50,80,0,0.098,941,2597,104.3,162.2,T24,23.2,V13,30.5
24,15:13:11,0.0,1,21,29,0,0.057,888,2521,100.0,156.3,V13,25.8,T23,27.7
25,15:13:17,6.0,4,20,28,0,0.179,1574,2863,107.8,228.6,T25,10.3,F14,37.7
26,15:13:25,0.0,1,9,6,0,0.037,1482,2890,113.2,219.1,T25,19.8,V24,33.8
27,15:13:28,6.0,4,15,7,0,0.15,1589,2854,106.4,230.1,T25,9.3,F14,37.2
28,15:13:36,0.0,1,12,2,0,0.048,1604,2688,90.3,230.9,T25,21.3,F14,25.2
29,15:13:38,4.0,3,12,5,0,0.149,1586,2871,108.1,229.9,T25,9.0,F14,38.5
30,15:13:44,2.0,2,6,3,0,0.173,1571,2805,102.5,228.0,T25,13.1,F14,32.7
31,15:13:48,0.0,1,46,72,0,0.136,1358,2871,115.3,206.1,T24,22.1,V24,31.4
32,15:15:09,0.0,1,9,10,0,0.09,355,2842,133.0,107.3,V22,13.7,T23,32.6
33,15:15:11,0.0,1,5,2,0,0.023,413,2761,127.0,112.1,V22,21.0,T23,25.0
34,15:15:13,8.0,5,37,55,0,0.088,511,3030,143.8,123.1,V22,19.6,T23,34.4
35,15:15:23,0.0,1,4,1,0,0.055,390,2933,138.5,111.1,V22,10.8,T23,34.3
36,15:15:27,18.0,10,54,88,0,0.12,454,2979,140.9,117.4,V22,14.8,T23,33.4
37,15:15:47,0.0,1,9,9,0,0.019,761,3176,151.8,147.8,F23,11.3,T33,34.9
38,15:15:49,0.0,1,16,20,0,0.037,1507,3330,153.0,223.0,V24,13.2,T35,33.1
39,15:15:51,10.0,6,41,52,0,0.135,1360,3293,152.6,207.7,V24,7.4,T34,37.6
40,15:16:03,20.9,12,45,65,0,0.15,1342,3221,146.5,205.7,V24,5.9,T34,41.5
41,15:16:26,0.0,1,12,8,0,0.104,1258,3127,140.1,196.9,V24,15.9,T24,32.3
42,15:16:32,0.0,1,10,3,0,0.125,1655,3209,138.1,238.2,V24,27.8,T25,27.9
43,15:16:34,2.0,2,18,10,0,0.164,1682,3258,142.1,241.1,V24,29.8,T25,31.9
44,15:16:38,0.0,1,13,0,0,0.058,1572,3443,162.2,229.8,T35,21.9,V24,24.2
45,15:16:40,2.1,2,18,10,0,0.143,1672,3266,143.1,240.1,V24,28.7,T25,32.9
46,15:16:44,0.0,1,12,2,0,0.042,1583,3331,151.5,230.8,V24,19.9,T35,31.7
47,15:16:46,0.0,1,12,5,0,0.136,1661,3223,139.2,238.8,V24,28.1,T25,29.0
48,15:16:48,0.0,1,12,2,0,0.051,1654,3033,121.2,237.6,T25,11.1,V24,36.0
49,15:16:50,0.0,1,15,5,0,0.141,1673,3218,138.5,240.1,T25,28.3,V24,29.5
50,15:16:52,8.4,6,17,9,0,0.171,1671,3265,143.0,239.9,V24,28.5,T25,32.8
51,15:17:39,0.0,1,6,6,0,0.313,126,4000,203.5,90.8,F32,19.5,T32,25.6
52,15:17:41,8.0,5,11,9,0,0.186,70,3711,185.3,85.3,T32,9.3,F32,37.6
53,15:17:51,0.0,1,12,9,0,0.028,172,3455,171.3,93.7,T32,20.3,V22,27.0
54,15:17:53,0.0,1,11,9,0,0.184,61,3727,186.1,84.5,T32,8.9,F32,37.3
55,15:17:55,0.0,1,12,9,0,0.033,200,3585,179.5,96.7,T32,20.3,T33,34.0
56,15:17:57,6.0,4,11,9,0,0.19,61,3727,186.1,84.6,T32,8.9,F32,37.3
57,15:18:05,0.0,1,19,17,0,0.101,340,3765,192.4,109.8,T33,23.1,F32,26.6
58,15:18:07,1.6,2,23,28,0,0.047,1048,3963,212.3,176.8,V33,20.1,T34,31.1
59,15:18:10,0.0,1,26,0,0,0.038,1046,3882,205.6,176.8,V33,22.9,T34,24.7
60,15:18:12,0.0,1,19,24,0,0.121,996,3989,214.2,171.7,V33,14.7,T34,34.5
61,15:18:14,16.0,9,50,72,0,0.171,958,3804,199.2,168.2,V33,21.7,T34,23.6
62,15:18:32,0.0,1,10,7,0,0.076,982,4037,218.0,170.3,V33,12.7,T34,38.5
63,15:18:34,0.0,1,11,8,0,0.03,1567,4039,218.6,228.6,F34,17.0,T45,37.0
64,15:18:36,0.0,1,12,7,0,0.02,1511,3958,211.2,223.1,F34,13.5,T35,32.9
65,15:18:38,0.0,1,7,3,0,0.019,1531,4081,222.6,224.9,F34,14.0,T45,34.4
66,15:18:40,1.8,2,10,7,0,0.018,1487,4002,215.4,220.6,F34,9.4,T35,37.8
67,15:18:44,0.0,1,13,11,0,0.025,1433,3676,185.9,215.6,T35,23.3,T34,31.2
68,15:18:46,2.0,2,23,32,0,0.114,1488,4032,218.2,220.6,F34,9.0,T45,40.2
69,15:18:50,0.0,1,46,66,0,0.094,1477,3858,202.2,219.8,F34,18.0,T35,27.5
70,15:18:52,0.0,1,46,65,0,0.069,1454,3932,209.2,217.4,F34,10.7,T35,34.3
71,15:18:54,8.0,5,48,71,0,0.114,1477,3853,201.7,219.9,F34,18.4,T35,27.1
72,15:19:04,0.0,1,48,69,0,0.039,1475,3783,195.2,219.7,T35,22.9,F34,24.4
73,15:19:06,0.0,1,11,13,0,0.095,1426,3648,183.4,214.8,T35,23.8,T34,30.3
74,15:20:52,0.0,1,19,23,0,0.141,114,4852,254.7,88.1,T42,11.5,V42,38.8
75,15:20:54,2.0,2,23,32,0,0.187,144,4757,250.1,91.1,T42,15.1,F32,34.3
76,15:20:58,1.9,2,10,10,0,0.116,174,4911,260.9,93.1,T42,17.8,V42,31.1
77,15:21:02,10.0,6,23,32,0,0.184,130,4779,250.9,89.8,T42,13.6,F32,35.5
78,15:21:14,0.0,1,13,15,0,0.025,172,4293,222.5,94.7,F32,9.8,T42,36.5
79,15:21:16,0.0,1,13,15,0,0.07,989,5456,334.4,162.8,T54,23.3,V53,28.3
80,15:21:18,0.0,1,10,6,0,0.068,1545,4515,263.7,224.4,T45,17.1,V44,29.4
