cam,clock,file,station,window_start,window_end,edge,n_corners,spread,bw_IR,settled_run,method
CH02,12:31:26.1,123126_r0011.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:31:30.2,123130_r0012.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:31:34.1,123134_r0013.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:31:38.1,123138_r0014.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:31:42.2,123142_r0015.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:31:46.1,123146_r0016.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:31:50.1,123150_r0017.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:31:54.1,123154_r0018.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:31:58.1,123158_r0019.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:32:02.1,123202_r0020.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:32:26.2,123226_r0026.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:32:30.1,123230_r0027.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:32:38.2,123238_r0029.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:32:42.1,123242_r0030.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:32:46.2,123246_r0031.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:32:50.1,123250_r0032.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:32:54.2,123254_r0033.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:32:58.2,123258_r0034.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:33:02.2,123302_r0035.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:33:06.2,123306_r0036.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:33:10.2,123310_r0037.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:33:14.3,123314_r0038.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:33:18.1,123318_r0039.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:33:22.2,123322_r0040.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:33:26.2,123326_r0041.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:33:30.2,123330_r0042.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:33:38.2,123338_r0044.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:33:42.2,123342_r0045.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:33:46.2,123346_r0046.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:33:50.2,123350_r0047.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:33:58.2,123358_r0049.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:34:02.2,123402_r0050.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:34:14.2,123414_r0053.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:34:26.2,123426_r0056.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:34:38.2,123438_r0059.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:34:50.2,123450_r0062.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:34:54.2,123454_r0063.npz,T65,12:30:45,12:34:55,0,0,0,0,,located
CH02,12:35:04.1,123504.npz,,,,0,33,1,0,,charuco
CH02,12:35:06.1,123506.npz,,,,0,30,1,0,,charuco
CH02,12:36:01.6,123601_m0001.npz,V11,12:36:01,12:36:45,0,51,1,0,,manual-outline
CH02,12:36:27.6,123627_r0014.npz,V11,12:36:01,12:36:45,0,88,1,0,,chessboard
CH02,12:36:55.6,123655_r0001.npz,F14,12:36:55,12:37:45,0,0,0,0,,located
CH02,12:36:59.6,123659_r0002.npz,F14,12:36:55,12:37:45,0,0,0,0,,located
CH02,12:37:03.6,123703_r0003.npz,F14,12:36:55,12:37:45,0,0,0,0,,located
CH02,12:37:07.7,123707_r0004.npz,F14,12:36:55,12:37:45,0,0,0,0,,located
CH02,12:37:15.6,123715_r0006.npz,F14,12:36:55,12:37:45,0,0,0,0,,located
CH02,12:37:19.6,123719_r0007.npz,F14,12:36:55,12:37:45,0,0,0,0,,located
CH02,12:37:23.7,123723_r0008.npz,F14,12:36:55,12:37:45,0,0,0,0,,located
CH02,12:37:27.6,123727_r0009.npz,F14,12:36:55,12:37:45,0,0,0,0,,located
CH02,12:37:31.6,123731_r0010.npz,F14,12:36:55,12:37:45,0,0,0,0,,located
CH02,12:37:35.6,123735_r0011.npz,F14,12:36:55,12:37:45,0,0,0,0,,located
CH02,12:37:39.7,123739_r0012.npz,F14,12:36:55,12:37:45,0,0,0,0,,located
CH02,12:37:43.6,123743_r0013.npz,F14,12:36:55,12:37:45,0,0,0,0,,located
CH02,12:37:55.6,123755_m0001.npz,T23,12:37:55,12:38:25,0,39,1,0,,manual-outline
CH02,12:39:23.7,123923_r0001.npz,T35,12:39:23,12:40:09,0,0,0,0,,located
CH02,12:39:27.7,123927_r0002.npz,T35,12:39:23,12:40:09,0,0,0,0,,located
CH02,12:39:31.7,123931_r0003.npz,T35,12:39:23,12:40:09,0,0,0,0,,located
CH02,12:39:35.7,123935_r0004.npz,T35,12:39:23,12:40:09,0,0,0,0,,located
CH02,12:39:39.6,123939_r0005.npz,T35,12:39:23,12:40:09,0,0,0,0,,located
CH02,12:39:43.6,123943_r0006.npz,T35,12:39:23,12:40:09,0,0,0,0,,located
CH02,12:39:55.7,123955_r0009.npz,T35,12:39:23,12:40:09,0,0,0,0,,located
CH02,12:39:59.7,123959_r0010.npz,T35,12:39:23,12:40:09,0,0,0,0,,located
CH02,12:40:03.7,124003_r0011.npz,T35,12:39:23,12:40:09,0,0,0,0,,located
CH02,12:40:07.7,124007_r0012.npz,T35,12:39:23,12:40:09,0,0,0,0,,located
CH02,12:41:05.6,124105.npz,NONE,12:41:05,12:42:24,0,49,1,0,,charuco
CH02,12:41:07.6,124107.npz,NONE,12:41:05,12:42:24,0,33,1,0,,charuco
CH02,12:41:09.6,124109.npz,NONE,12:41:05,12:42:24,0,49,1,0,,charuco
CH02,12:41:11.7,124111.npz,NONE,12:41:05,12:42:24,0,55,1,0,,charuco
CH02,12:41:13.6,124113.npz,NONE,12:41:05,12:42:24,0,48,1,0,,charuco
CH03,12:25:07.7,122507.npz,,,,0,20,1,0,,charuco
CH03,12:25:09.8,122509.npz,,,,0,12,1,0,,charuco
CH03,12:25:11.8,122511.npz,,,,0,48,1,0,,charuco
CH03,12:25:29.8,122529.npz,,,,0,30,1,0,,charuco
CH03,12:25:43.9,122543.npz,,,,0,13,1,0,,charuco
CH03,12:25:45.9,122545.npz,,,,0,67,1,0,,charuco
CH03,12:25:47.9,122547.npz,,,,0,42,1,0,,charuco
CH03,12:25:49.8,122549.npz,,,,0,38,1,0,,charuco
CH03,12:25:51.8,122551.npz,,,,0,33,1,0,,charuco
CH03,12:25:53.8,122553.npz,,,,0,66,1,0,,charuco
CH03,12:25:55.8,122555.npz,,,,0,64,1,0,,charuco
CH03,12:25:57.8,122557.npz,,,,0,62,1,0,,charuco
CH03,12:25:59.8,122559.npz,,,,0,81,1,0,,charuco
CH03,12:26:03.8,122603.npz,,,,0,78,1,0,,charuco
CH03,12:26:05.8,122605.npz,T11,12:26:06,12:26:48,1,78,1,0,CH03-w1-r1,charuco
CH03,12:26:07.8,122607.npz,T11,12:26:06,12:26:48,0,82,1,0,CH03-w1-r1,charuco
CH03,12:26:11.9,122611.npz,T11,12:26:06,12:26:48,0,88,1,0,CH03-w1-r1,charuco
CH03,12:26:12.4,122612.npz,T11,12:26:06,12:26:48,0,86,1,0,CH03-w1-r1,charuco
CH03,12:26:16.3,122616.npz,T11,12:26:06,12:26:48,0,82,1,0,CH03-w1-r1,charuco
CH03,12:26:18.3,122618.npz,T11,12:26:06,12:26:48,0,72,1,0,CH03-w1-r1,charuco
CH03,12:26:20.3,122620.npz,T11,12:26:06,12:26:48,0,76,1,0,CH03-w1-r1,charuco
CH03,12:26:22.3,122622.npz,T11,12:26:06,12:26:48,0,78,1,0,CH03-w1-r1,charuco
CH03,12:26:24.3,122624.npz,T11,12:26:06,12:26:48,0,80,1,0,CH03-w1-r1,charuco
CH03,12:26:26.3,122626.npz,T11,12:26:06,12:26:48,0,78,1,0,CH03-w1-r1,charuco
CH03,12:26:28.3,122628.npz,T11,12:26:06,12:26:48,0,80,1,0,CH03-w1-r1,charuco
CH03,12:26:30.3,122630.npz,T11,12:26:06,12:26:48,0,84,1,0,CH03-w1-r1,charuco
CH03,12:26:32.4,122632.npz,T11,12:26:06,12:26:48,0,82,1,0,CH03-w1-r1,charuco
CH03,12:26:34.4,122634.npz,T11,12:26:06,12:26:48,0,78,1,0,CH03-w1-r1,charuco
CH03,12:26:36.4,122636.npz,T11,12:26:06,12:26:48,0,80,1,0,CH03-w1-r1,charuco
CH03,12:26:38.3,122638.npz,T11,12:26:06,12:26:48,0,73,1,0,CH03-w1-r1,charuco
CH03,12:26:40.4,122640.npz,T11,12:26:06,12:26:48,0,76,1,0,CH03-w1-r1,charuco
CH03,12:26:42.3,122642.npz,T11,12:26:06,12:26:48,0,75,1,0,CH03-w1-r1,charuco
CH03,12:26:44.3,122644.npz,T11,12:26:06,12:26:48,0,76,1,0,CH03-w1-r1,charuco
CH03,12:26:46.3,122646.npz,T11,12:26:06,12:26:48,0,74,1,0,CH03-w1-r1,charuco
CH03,12:26:48.4,122648.npz,T11,12:26:06,12:26:48,1,20,1,0,CH03-w1-r1,charuco
CH03,12:35:09.3,123509.npz,,,,0,52,1,0,,charuco
CH03,12:35:11.3,123511.npz,,,,0,72,1,0,,charuco
CH03,12:35:13.3,123513.npz,,,,0,67,1,0,,charuco
CH03,12:35:15.3,123515.npz,,,,0,79,1,0,,charuco
CH03,12:35:17.4,123517.npz,,,,0,58,1,0,,charuco
CH03,12:35:19.4,123519.npz,,,,0,40,1,0,,charuco
CH03,12:35:45.4,123545.npz,,,,0,20,1,0,,charuco
CH03,12:36:53.5,123653.npz,F14,12:36:55,12:37:45,1,34,1,0,,charuco
CH03,12:36:55.5,123655.npz,F14,12:36:55,12:37:45,0,55,1,0,,charuco
CH03,12:36:57.5,123657.npz,F14,12:36:55,12:37:45,0,45,1,0,,charuco
CH03,12:36:59.5,123659.npz,F14,12:36:55,12:37:45,0,57,1,0,CH03-w9-r1,charuco
CH03,12:37:01.5,123701.npz,F14,12:36:55,12:37:45,0,42,1,0,CH03-w9-r1,charuco
CH03,12:37:03.5,123703.npz,F14,12:36:55,12:37:45,0,36,1,0,CH03-w9-r1,charuco
CH03,12:37:05.5,123705.npz,F14,12:36:55,12:37:45,0,34,1,0,CH03-w9-r1,charuco
CH03,12:37:07.5,123707.npz,F14,12:36:55,12:37:45,0,23,1,0,CH03-w9-r1,charuco
CH03,12:37:09.5,123709.npz,F14,12:36:55,12:37:45,0,25,1,0,CH03-w9-r1,charuco
CH03,12:37:11.5,123711.npz,F14,12:36:55,12:37:45,0,24,1,0,CH03-w9-r1,charuco
CH03,12:37:13.5,123713.npz,F14,12:36:55,12:37:45,0,22,1,0,CH03-w9-r1,charuco
CH03,12:37:17.6,123717.npz,F14,12:36:55,12:37:45,0,35,1,0,CH03-w9-r1,charuco
CH03,12:37:19.5,123719.npz,F14,12:36:55,12:37:45,0,35,1,0,CH03-w9-r1,charuco
CH03,12:37:21.5,123721.npz,F14,12:36:55,12:37:45,0,33,1,0,CH03-w9-r1,charuco
CH03,12:37:23.5,123723.npz,F14,12:36:55,12:37:45,0,39,1,0,CH03-w9-r1,charuco
CH03,12:37:25.5,123725.npz,F14,12:36:55,12:37:45,0,39,1,0,CH03-w9-r1,charuco
CH03,12:37:27.4,123727.npz,F14,12:36:55,12:37:45,0,44,1,0,CH03-w9-r1,charuco
CH03,12:37:29.5,123729.npz,F14,12:36:55,12:37:45,0,46,1,0,CH03-w9-r1,charuco
CH03,12:37:31.5,123731.npz,F14,12:36:55,12:37:45,0,36,1,0,CH03-w9-r1,charuco
CH03,12:37:33.5,123733.npz,F14,12:36:55,12:37:45,0,32,1,0,CH03-w9-r1,charuco
CH03,12:37:35.5,123735.npz,F14,12:36:55,12:37:45,0,33,1,0,CH03-w9-r1,charuco
CH03,12:37:37.5,123737.npz,F14,12:36:55,12:37:45,0,22,1,0,CH03-w9-r1,charuco
CH03,12:37:39.5,123739.npz,F14,12:36:55,12:37:45,0,28,1,0,CH03-w9-r1,charuco
CH03,12:37:41.6,123741.npz,F14,12:36:55,12:37:45,0,29,1,0,CH03-w9-r1,charuco
CH03,12:37:43.5,123743.npz,F14,12:36:55,12:37:45,0,31,1,0,CH03-w9-r1,charuco
CH03,12:37:45.5,123745.npz,F14,12:36:55,12:37:45,1,37,1,0,CH03-w9-r1,charuco
CH03,12:37:47.5,123747.npz,,,,0,52,1,0,,charuco
CH03,12:37:49.4,123749.npz,,,,0,74,1,0,,charuco
CH03,12:37:51.4,123751.npz,,,,0,27,1,0,,charuco
CH03,12:37:53.5,123753.npz,T23,12:37:55,12:38:25,1,28,1,0,CH03-w10-r1,charuco
CH03,12:37:55.4,123755.npz,T23,12:37:55,12:38:25,0,53,1,0,CH03-w10-r1,charuco
CH03,12:37:57.5,123757.npz,T23,12:37:55,12:38:25,0,53,1,0,CH03-w10-r1,charuco
CH03,12:37:59.5,123759.npz,T23,12:37:55,12:38:25,0,53,1,0,CH03-w10-r1,charuco
CH03,12:38:01.5,123801.npz,T23,12:37:55,12:38:25,0,53,1,0,CH03-w10-r1,charuco
CH03,12:38:03.5,123803.npz,T23,12:37:55,12:38:25,0,53,1,0,CH03-w10-r1,charuco
CH03,12:38:05.6,123805.npz,T23,12:37:55,12:38:25,0,53,1,0,CH03-w10-r1,charuco
CH03,12:38:07.6,123807.npz,T23,12:37:55,12:38:25,0,53,1,0,CH03-w10-r1,charuco
CH03,12:38:09.5,123809.npz,T23,12:37:55,12:38:25,0,53,1,0,CH03-w10-r1,charuco
CH03,12:38:11.6,123811.npz,T23,12:37:55,12:38:25,0,53,1,0,CH03-w10-r1,charuco
CH03,12:38:13.6,123813.npz,T23,12:37:55,12:38:25,0,53,1,0,CH03-w10-r1,charuco
CH03,12:38:15.6,123815.npz,T23,12:37:55,12:38:25,0,53,1,0,CH03-w10-r1,charuco
CH03,12:38:17.5,123817.npz,T23,12:37:55,12:38:25,0,53,1,0,CH03-w10-r1,charuco
CH03,12:38:19.5,123819.npz,T23,12:37:55,12:38:25,0,53,1,0,CH03-w10-r1,charuco
CH03,12:38:21.6,123821.npz,T23,12:37:55,12:38:25,0,53,1,0,CH03-w10-r1,charuco
CH03,12:38:23.6,123823.npz,T23,12:37:55,12:38:25,0,53,1,0,CH03-w10-r1,charuco
CH03,12:38:25.5,123825.npz,T23,12:37:55,12:38:25,1,49,1,0,CH03-w10-r1,charuco
CH03,12:38:27.5,123827.npz,,,,0,24,1,0,,charuco
CH04,12:29:03.4,122903.npz,,,,0,46,1,0,,charuco
CH04,12:29:05.4,122905.npz,,,,0,64,1,0,,charuco
CH04,12:29:07.4,122907.npz,,,,0,67,1,0,,charuco
CH04,12:29:09.4,122909.npz,,,,0,62,1,0,,charuco
CH04,12:29:11.4,122911.npz,,,,0,60,1,0,,charuco
CH04,12:29:13.4,122913.npz,,,,0,58,1,0,,charuco
CH04,12:29:15.4,122915.npz,,,,0,64,1,0,,charuco
CH04,12:29:17.4,122917.npz,,,,0,75,1,0,,charuco
CH04,12:29:19.4,122919.npz,,,,0,72,1,0,,charuco
CH04,12:29:21.4,122921.npz,,,,0,68,1,0,,charuco
CH04,12:29:23.4,122923.npz,,,,0,66,1,0,,charuco
CH04,12:29:25.5,122925.npz,T61,12:29:25,12:29:36,0,59,1,0,CH04-w3-r1,charuco
CH04,12:29:27.4,122927.npz,T61,12:29:25,12:29:36,0,71,1,0,CH04-w3-r1,charuco
CH04,12:29:29.4,122929.npz,T61,12:29:25,12:29:36,0,65,1,0,CH04-w3-r1,charuco
CH04,12:29:31.4,122931.npz,T61,12:29:25,12:29:36,0,50,1,0,CH04-w3-r1,charuco
CH04,12:29:33.4,122933.npz,T61,12:29:25,12:29:36,0,67,1,0,CH04-w3-r1,charuco
CH04,12:29:35.4,122935.npz,T61,12:29:25,12:29:36,0,25,1,0,,charuco
CH04,12:29:37.4,122937.npz,T61,12:29:25,12:29:36,1,45,1,0,,charuco
CH04,12:29:39.4,122939.npz,T62,12:29:39,12:29:57,0,15,1,0,,charuco
CH04,12:29:41.4,122941.npz,T62,12:29:39,12:29:57,0,21,1,0,,charuco
CH04,12:29:43.4,122943.npz,T62,12:29:39,12:29:57,0,20,1,0,CH04-w4-r1,charuco
CH04,12:29:45.4,122945.npz,T62,12:29:39,12:29:57,0,20,1,0,CH04-w4-r1,charuco
CH04,12:29:47.4,122947.npz,T62,12:29:39,12:29:57,0,14,1,0,CH04-w4-r1,charuco
CH04,12:29:49.4,122949.npz,T62,12:29:39,12:29:57,0,13,1,0,CH04-w4-r1,charuco
CH04,12:29:51.4,122951.npz,T62,12:29:39,12:29:57,0,15,1,0,CH04-w4-r1,charuco
CH04,12:29:53.4,122953.npz,T62,12:29:39,12:29:57,0,16,1,0,CH04-w4-r2,charuco
CH04,12:29:55.4,122955.npz,T62,12:29:39,12:29:57,0,18,1,0,CH04-w4-r2,charuco
CH04,12:29:57.4,122957.npz,T62,12:29:39,12:29:57,1,22,1,0,CH04-w4-r2,charuco
CH04,12:29:59.4,122959.npz,,,,0,60,1,0,,charuco
CH04,12:30:01.4,123001.npz,,,,0,23,1,0,,charuco
CH04,12:30:03.4,123003.npz,,,,0,24,1,0,,charuco
