idx,clock,dur_s,samples,max_markers,max_corners,bw_IR,sat_frac,px_x,px_y,field_in_x,field_in_y,station,dist_in,station2,dist2_in
1,15:06:46,0.0,1,13,10,0,0.138,1701,5709,87.2,7.6,T21,27.5,V11,43.9
2,15:06:48,19.5,11,16,13,0,0.18,1724,5665,90.9,4.8,T21,26.2,V11,47.8
3,15:07:35,10.0,6,11,7,1,0.128,1174,6040,77.5,60.7,V11,11.6,T22,36.3
4,15:08:01,10.4,7,32,35,1,0.103,1187,6030,77.8,59.3,V11,10.4,T22,36.7
5,15:10:41,0.0,1,8,6,0,0.284,1512,5472,115.9,22.1,T21,5.7,F21,40.9
6,15:11:57,0.0,1,15,9,1,0.081,1473,5581,106.7,27.0,T21,5.6,V11,39.6
7,15:11:59,0.0,1,54,88,1,0.043,1253,5772,97.4,49.6,V11,23.2,T22,29.9
8,15:12:01,4.0,3,30,33,1,0.144,1136,5728,106.1,59.6,T22,17.4,V11,33.5
9,15:12:07,5.9,4,14,14,1,0.488,1200,5690,106.8,53.3,T22,23.5,T21,30.9
10,15:12:15,22.1,12,20,17,1,0.196,1147,5734,105.2,58.8,T22,18.5,V11,32.3
11,15:12:38,0.0,1,53,86,1,0.0,1406,5773,91.2,35.7,V11,21.9,T21,23.1
12,15:12:40,0.0,1,54,88,1,0.0,545,5827,128.1,113.6,V22,20.6,T23,24.7
13,15:12:42,0.0,1,21,24,1,0.013,96,6452,118.8,161.8,T24,24.4,F23,27.7
14,15:12:44,13.6,8,30,44,1,0.01,103,6339,124.9,159.3,F23,21.3,T24,29.3
15,15:13:00,0.0,1,30,41,1,0.028,120,6205,131.7,155.7,F23,14.7,T23,33.0
16,15:13:02,8.0,5,30,44,1,0.009,107,6337,124.7,158.9,F23,21.5,T24,29.5
17,15:13:12,0.0,1,10,12,1,0.016,72,6444,121.2,163.7,T24,23.7,F23,25.7
18,15:13:54,37.3,20,47,72,1,0.07,1792,5024,154.6,-8.6,T31,41.7,T21,54.2
19,15:14:34,0.0,1,4,2,1,0.036,1906,5130,142.2,-18.4,T21,52.0,T31,57.3
20,15:14:36,0.0,1,45,68,1,0.022,1312,5149,151.2,37.1,F21,13.4,T31,34.2
21,15:14:38,26.6,15,49,76,1,0.087,1213,5213,148.2,46.8,F21,3.4,T31,41.7
22,15:15:06,0.0,1,46,75,1,0.023,1204,5423,130.0,49.8,F21,16.2,T22,33.3
23,15:15:08,0.0,1,36,48,1,0.044,386,5635,150.4,125.1,V22,21.9,T33,32.2
24,15:15:10,0.6,2,23,33,1,0.047,254,5725,152.2,137.6,F23,20.9,T33,30.8
25,15:15:13,9.9,6,50,81,1,0.04,299,5625,156.0,132.5,T33,26.3,F23,26.9
26,15:15:25,0.0,1,8,9,0,0.048,291,5793,145.6,135.2,F23,22.4,V22,31.6
27,15:15:27,0.0,1,25,27,0,0.029,338,5659,151.5,129.5,V22,26.5,F23,28.6
28,15:15:29,2.0,2,22,31,0,0.04,389,5705,145.5,125.7,V22,22.1,F23,31.9
29,15:15:33,0.0,1,23,31,0,0.023,441,5457,159.5,118.3,V22,19.8,T33,25.8
30,15:15:35,0.0,1,19,22,0,0.014,478,5799,133.9,119.1,V22,19.8,T23,26.4
31,15:15:37,4.0,3,52,85,1,0.046,311,5608,156.4,131.2,T33,25.8,F23,28.3
32,15:15:43,0.0,1,51,77,1,0.036,316,5541,160.5,130.1,T33,21.7,V22,30.1
33,15:15:45,2.0,2,52,85,1,0.046,285,5617,157.3,133.6,T33,25.1,F23,26.4
34,15:17:05,0.0,1,42,68,1,0.008,1760,4969,160.5,-6.1,T31,35.9,F21,57.5
35,15:17:07,28.9,16,43,68,1,0.077,1538,4605,198.4,12.0,T31,19.4,V31,42.4
36,15:17:38,0.0,1,42,61,1,0.046,733,4802,195.3,86.8,T32,16.7,F32,28.3
37,15:17:40,24.0,13,53,86,1,0.058,678,4807,196.6,91.8,T32,20.9,F32,24.6
38,15:19:10,0.0,1,35,54,1,0.0,1120,5388,135.9,57.0,F21,12.7,T22,32.3
39,15:19:18,9.9,6,16,21,1,0.048,1595,3972,260.1,4.4,T41,19.2,F41,54.4
40,15:19:34,7.0,5,9,7,1,0.057,1713,3893,269.4,-7.0,T41,33.2,F41,60.3
41,15:19:43,8.0,5,10,7,1,0.016,1725,3835,275.5,-8.1,T41,37.3,T51,59.3
42,15:19:53,0.0,1,5,0,1,0.003,1712,3147,344.8,-5.8,T51,33.9,V51,58.1
43,15:19:55,31.7,17,12,10,1,0.017,1722,3835,275.4,-7.8,T41,37.1,T51,59.3
44,15:20:29,0.0,1,34,46,1,0.017,1806,3652,295.8,-15.9,T51,49.1,T41,56.7
45,15:20:31,0.0,1,40,53,1,0.033,1228,3825,270.6,38.5,F41,22.5,T41,22.8
46,15:20:33,16.0,9,34,44,1,0.045,1109,3892,264.2,49.5,F41,26.0,T41,28.7
47,15:20:51,0.0,1,48,69,1,0.0,1352,3697,283.3,27.0,F41,23.6,T41,29.5
48,15:20:53,0.0,1,32,41,1,0.038,608,3913,263.9,95.1,T42,20.9,V42,27.6
49,15:20:55,20.0,11,30,37,1,0.045,563,3954,261.4,99.1,T42,23.7,V42,29.1
50,15:22:25,0.0,1,23,31,1,0.004,550,3171,317.8,102.0,T52,26.8,V42,27.6
51,15:22:27,0.0,1,29,34,1,0.009,1527,3137,339.8,11.9,T51,17.3,V51,43.9
52,15:22:29,0.0,1,12,2,1,0.013,1643,3225,334.7,0.5,T51,23.7,V51,56.2
53,15:22:31,0.0,1,38,46,1,0.038,1496,3215,331.4,14.5,T51,9.6,V51,46.7
54,15:22:33,10.5,7,37,46,1,0.058,1454,3288,323.5,18.2,T51,5.2,F41,45.8
55,15:22:45,0.0,1,27,22,1,0.003,1384,3379,313.3,24.5,T51,13.1,F41,34.1
56,15:22:47,10.0,6,33,41,1,0.066,1450,3284,323.7,18.6,T51,4.7,F41,45.6
57,15:22:59,0.0,1,39,61,1,0.023,1581,3091,346.0,6.9,T51,25.3,V51,45.7
58,15:23:01,15.8,9,50,77,1,0.121,618,3101,323.6,96.3,T52,19.8,V42,34.2
59,15:23:19,0.0,1,49,80,1,0.132,609,2730,350.8,99.5,F52,12.1,T52,33.6
60,15:24:27,0.0,1,50,81,1,0.04,1759,2698,392.3,-7.9,T61,31.1,V51,64.9
61,15:24:29,6.0,4,21,16,1,0.028,1632,2889,367.8,3.1,T61,36.2,T51,45.9
62,15:24:37,0.0,1,8,2,1,0.021,1548,2619,390.8,12.9,T61,12.2,V51,46.5
63,15:24:39,24.2,13,49,78,1,0.077,1676,2919,366.4,-1.3,T61,39.8,T51,46.7
64,15:25:05,0.0,1,6,3,0,0.022,1444,3431,309.7,18.7,T51,17.0,F41,36.5
65,15:25:07,10.0,6,43,59,0,0.102,1088,2684,367.3,55.8,V51,8.0,T62,37.2
66,15:25:19,0.0,1,34,38,0,0.03,1119,2605,375.2,53.5,V51,13.6,T62,32.5
67,15:25:21,4.0,3,39,51,0,0.091,1082,2683,367.3,56.4,V51,8.5,T62,36.9
68,15:25:27,0.0,1,32,38,0,0.084,1158,2498,386.0,50.8,V51,23.8,T62,28.6
69,15:25:29,0.0,1,5,1,0,0.028,800,2881,343.5,81.0,T52,17.8,F52,29.4
70,15:25:31,16.0,9,45,69,0,0.097,188,2871,334.7,136.4,T53,10.3,V53,34.7
71,15:25:49,0.0,1,42,67,0,0.063,225,2207,377.7,139.4,T63,22.3,V53,23.9
72,15:26:54,2.0,2,7,2,0,0.152,1387,2469,398.0,29.5,T61,6.9,V51,41.1
73,15:26:57,18.1,10,13,6,0,0.154,1394,2504,395.1,28.5,T61,6.7,V51,39.1
74,15:27:17,0.0,1,37,44,0,0.08,1154,2158,415.5,54.6,F61,19.3,T62,28.0
75,15:27:19,18.0,10,21,19,0,0.12,1008,2342,393.5,66.3,T62,11.3,V51,35.5
76,15:27:39,0.0,1,4,1,0,0.139,1040,2289,399.2,63.8,T62,12.8,F61,37.7
77,15:27:41,2.0,2,23,27,0,0.11,1015,2339,394.0,65.7,T62,11.7,V51,35.6
78,15:27:45,0.0,1,22,19,0,0.053,1014,1750,443.6,72.9,F61,25.1,T72,26.9
79,15:27:47,3.9,3,7,4,0,0.167,36,1844,394.7,161.1,T64,23.8,T63,30.7
80,15:27:53,0.0,1,4,1,0,0.009,112,2796,338.7,143.7,T53,18.1,V53,27.3
81,15:27:55,8.0,5,4,2,0,0.166,34,1851,394.1,161.2,T64,23.8,T63,30.9
82,15:28:52,0.0,1,7,3,0,0.131,1308,1793,456.4,44.6,F61,22.7,T71,26.0
83,15:29:18,0.0,1,11,6,0,0.103,355,1179,450.9,143.3,F63,22.0,T73,23.1
84,15:29:20,0.0,1,7,3,0,0.106,165,1303,433.0,158.2,F63,1.4,T64,43.6
85,15:29:21,2.1,2,6,1,0,0.102,186,1381,429.0,155.0,F63,5.8,T63,39.3
86,15:29:30,1.9,2,6,2,0,0.1,131,1326,429.9,161.0,F63,5.5,T64,39.5
87,15:30:23,0.0,1,51,79,0,0.059,393,1182,452.8,139.7,T73,19.7,F63,25.8
88,15:30:45,0.0,1,15,9,0,0.084,1584,1874,465.6,17.0,T71,7.2,F61,45.2
89,15:31:03,0.0,1,33,48,0,0.049,908,1393,467.0,88.4,T72,12.2,V62,36.2
90,15:31:07,0.0,1,7,2,0,0.104,457,1501,433.9,128.3,V62,24.7,F63,29.3
91,15:31:29,0.0,1,6,0,0,0.012,291,1495,426.5,143.6,F63,16.0,T63,31.1
92,15:32:29,0.0,1,13,9,0,0.033,1749,6672,-11.6,19.4,T11,49.9,T12,75.8
93,15:32:33,0.0,1,5,2,0,0.053,1585,6665,-1.7,34.3,T11,41.6,T12,58.2
94,15:32:35,2.0,2,15,8,0,0.046,1479,6655,5.4,43.8,T11,39.1,T12,46.3
95,15:32:39,0.0,1,6,4,0,0.048,1564,6719,-5.7,37.4,T11,46.3,T12,58.9
96,15:32:41,16.0,9,17,12,0,0.058,1492,6669,3.2,42.9,T11,40.4,T12,48.6
97,15:32:59,0.0,1,5,1,0,0.012,1387,5862,83.7,38.7,V11,14.5,T21,31.0
98,15:33:01,22.0,12,17,12,0,0.053,1494,6665,3.5,42.7,T11,40.0,T12,48.5
99,15:33:25,0.0,1,8,0,0,0.013,1361,6463,30.0,50.9,T12,27.0,T11,29.4
100,15:33:27,0.0,1,9,2,0,0.011,1479,6539,16.3,41.5,T11,28.9,T12,41.4
101,15:33:29,6.0,4,20,15,0,0.05,1501,6670,2.6,42.1,T11,40.6,T12,49.5
102,15:33:37,0.0,1,10,1,0,0.012,1363,5909,80.4,41.6,V11,10.2,T21,35.3
103,15:33:39,2.0,2,16,8,0,0.045,1495,6666,3.4,42.6,T11,40.1,T12,48.7
104,15:33:43,0.0,1,8,1,0,0.013,1272,6143,63.6,53.4,V11,11.3,T12,34.4
105,15:33:45,0.0,1,11,1,0,0.013,1412,6387,34.1,44.9,T11,22.6,T12,32.0
106,15:33:47,12.1,7,20,13,0,0.055,1494,6667,3.3,42.7,T11,40.2,T12,48.6
107,15:34:01,0.0,1,7,1,0,0.013,1356,6256,49.1,47.7,V11,25.2,T11,27.4
108,15:34:03,8.1,5,19,14,0,0.058,1494,6660,4.0,42.6,T11,39.6,T12,48.2
109,15:34:13,0.0,1,7,0,0,0.014,1393,6252,47.6,44.3,T11,23.6,V11,27.1
