cam,clock,file,station,window_start,window_end,edge,n_corners,spread,bw_IR,settled_run
CH01,15:16:24.8,151624.npz,T34,15:15:57,15:16:26,0,61,1,0,CH01-w22-r1
CH01,15:18:05.2,151805.npz,F32,15:17:41,15:18:05,1,17,1,0,
CH01,15:18:07.2,151807.npz,,,,0,15,1,0,
CH01,15:18:08.9,151808.npz,,,,0,28,1,0,
CH01,15:18:12.8,151812.npz,V33,15:18:12,15:18:30,0,24,1,0,CH01-w26-r1
CH01,15:18:14.9,151814.npz,V33,15:18:12,15:18:30,0,72,1,0,CH01-w26-r1
CH01,15:18:16.8,151816.npz,V33,15:18:12,15:18:30,0,68,1,0,CH01-w26-r1
CH01,15:18:18.9,151818.npz,V33,15:18:12,15:18:30,0,72,1,0,CH01-w26-r1
CH01,15:18:20.8,151820.npz,V33,15:18:12,15:18:30,0,72,1,0,CH01-w26-r1
CH01,15:18:22.9,151822.npz,V33,15:18:12,15:18:30,0,70,1,0,CH01-w26-r1
CH01,15:18:24.9,151824.npz,V33,15:18:12,15:18:30,0,72,1,0,CH01-w26-r1
CH01,15:18:26.9,151826.npz,V33,15:18:12,15:18:30,0,72,1,0,CH01-w26-r1
CH01,15:18:28.9,151828.npz,V33,15:18:12,15:18:30,0,72,1,0,CH01-w26-r1
CH01,15:18:30.8,151830.npz,V33,15:18:12,15:18:30,1,72,1,0,CH01-w26-r1
CH01,15:18:46.8,151846.npz,,,,0,14,0,0,
CH01,15:18:48.8,151848.npz,F34,15:18:50,15:19:04,1,32,1,0,CH01-w27-r1
CH01,15:18:50.8,151850.npz,F34,15:18:50,15:19:04,0,66,1,0,CH01-w27-r1
CH01,15:18:52.8,151852.npz,F34,15:18:50,15:19:04,0,65,1,0,CH01-w27-r1
CH01,15:18:54.8,151854.npz,F34,15:18:50,15:19:04,0,69,1,0,CH01-w27-r1
CH01,15:18:56.8,151856.npz,F34,15:18:50,15:19:04,0,67,1,0,CH01-w27-r1
CH01,15:18:58.8,151858.npz,F34,15:18:50,15:19:04,0,65,1,0,CH01-w27-r1
CH01,15:19:01.0,151901.npz,F34,15:18:50,15:19:04,0,69,1,0,CH01-w27-r1
CH01,15:19:02.8,151902.npz,F34,15:18:50,15:19:04,0,71,1,0,CH01-w27-r1
CH01,15:19:04.8,151904.npz,F34,15:18:50,15:19:04,1,69,1,0,CH01-w27-r1
CH01,15:19:06.8,151906.npz,,,,0,13,1,0,
CH01,15:20:52.9,152052.npz,,,,0,23,1,0,
CH01,15:20:54.9,152054.npz,,,,0,26,1,0,
CH01,15:20:56.8,152056.npz,T43,15:20:58,15:21:12,1,32,1,0,
CH01,15:21:02.8,152102.npz,T43,15:20:58,15:21:12,0,32,1,0,CH01-w31-r1
CH01,15:21:04.8,152104.npz,T43,15:20:58,15:21:12,0,32,1,0,CH01-w31-r1
CH01,15:21:06.8,152106.npz,T43,15:20:58,15:21:12,0,32,1,0,CH01-w31-r1
CH01,15:21:08.8,152108.npz,T43,15:20:58,15:21:12,0,32,1,0,CH01-w31-r1
CH01,15:21:10.8,152110.npz,T43,15:20:58,15:21:12,0,32,1,0,CH01-w31-r1
CH01,15:21:12.8,152112.npz,T43,15:20:58,15:21:12,1,32,1,0,CH01-w31-r1
CH01,15:21:14.8,152114.npz,,,,0,15,1,0,
CH01,15:21:16.8,152116.npz,,,,0,15,1,0,
CH01,15:21:27.7,152127.npz,,,,0,12,1,0,
CH01,15:21:29.7,152129.npz,,,,0,16,1,0,
CH01,15:21:35.7,152135.npz,T44,15:21:35,15:21:44,0,17,1,0,CH01-w32-r1
CH01,15:21:37.7,152137.npz,T44,15:21:35,15:21:44,0,15,1,0,CH01-w32-r1
CH01,15:21:39.7,152139.npz,T44,15:21:35,15:21:44,0,17,1,0,CH01-w32-r1
CH01,15:21:41.1,152141.npz,T44,15:21:35,15:21:44,0,17,1,0,CH01-w32-r1
CH01,15:21:42.9,152142.npz,T44,15:21:35,15:21:44,0,17,1,0,CH01-w32-r1
CH01,15:21:44.9,152144.npz,T44,15:21:35,15:21:44,1,17,1,0,CH01-w32-r1
CH01,15:21:46.9,152146.npz,,,,0,13,1,0,
CH01,15:21:50.9,152150.npz,,,,0,17,1,0,
CH01,15:21:52.9,152152.npz,T45,15:21:54,15:22:20,1,16,1,0,
CH01,15:21:54.9,152154.npz,T45,15:21:54,15:22:20,0,18,1,0,CH01-w33-r1
