idx,clock,dur_s,samples,max_markers,max_corners,bw_IR,sat_frac,px_x,px_y,field_in_x,field_in_y,station,dist_in,station2,dist2_in
1,15:01:02,0.0,1,22,22,0,0.163,350,1447,32.1,11.7,T11,12.5,V11,56.7
2,15:01:04,0.0,1,21,22,0,0.03,479,1427,31.0,17.7,T11,8.7,V11,53.7
3,15:01:06,36.0,19,45,68,0,0.221,343,1529,36.6,14.1,T11,8.6,V11,51.7
4,15:01:44,0.0,1,24,16,0,0.038,516,1503,35.2,22.0,T11,3.1,V11,47.8
5,15:01:46,0.0,1,22,18,0,0.189,307,1526,36.5,12.2,T11,10.6,V11,53.2
6,15:01:48,0.0,1,18,9,0,0.033,424,1430,31.1,15.0,T11,10.4,V11,55.3
7,15:01:50,0.0,1,15,7,0,0.173,367,1482,34.0,13.7,T11,9.8,V11,53.9
8,15:01:51,0.0,1,5,0,0,0.032,839,1454,32.5,37.3,T11,15.8,T12,39.7
9,15:01:56,0.0,1,19,15,0,0.026,1370,1514,36.1,66.0,T12,10.8,V11,41.5
10,15:01:58,12.0,7,39,53,0,0.334,1212,1527,36.6,58.1,T12,18.6,T11,35.5
11,15:02:12,0.0,1,15,3,0,0.031,1380,1553,38.2,67.1,T12,9.5,V11,40.0
12,15:02:15,0.0,1,6,4,0,0.17,2649,1476,36.3,133.3,T13,3.3,V13,45.1
13,15:02:18,0.0,1,7,3,0,0.175,2650,1676,46.4,131.0,T13,8.2,V13,38.5
14,15:02:20,2.1,2,39,57,0,0.25,2519,1491,36.8,126.2,T13,4.7,F12,43.7
15,15:02:24,0.0,1,26,38,0,0.227,2427,1376,30.1,122.1,T13,11.8,T12,46.2
16,15:02:26,10.1,6,49,73,0,0.331,2463,1506,37.4,123.1,T13,7.6,F12,41.6
17,15:02:38,0.0,1,29,38,0,0.21,2497,1408,32.1,125.7,T13,7.8,F12,47.5
18,15:02:40,0.0,1,5,3,0,0.339,2247,1356,28.4,112.3,T13,20.8,T12,37.0
19,15:02:44,0.0,1,13,7,0,0.19,3655,1332,31.2,192.2,T14,10.4,T15,46.9
20,15:02:46,0.0,1,13,6,0,0.035,3517,1443,37.1,181.1,T14,3.6,V13,43.9
21,15:02:48,2.0,2,34,46,0,0.19,3701,1477,39.7,190.1,T14,5.7,F14,40.6
22,15:02:52,0.0,1,10,4,0,0.132,3567,1412,35.6,184.8,T14,2.6,F14,47.0
23,15:02:54,18.0,10,28,24,0,0.253,3661,1463,38.8,188.4,T14,3.9,F14,42.3
24,15:03:14,0.0,1,8,4,0,0.253,3574,1269,27.0,189.5,T14,12.2,T15,50.4
25,15:03:16,0.0,1,26,22,0,0.211,3664,1458,38.5,188.7,T14,4.2,F14,42.4
26,15:03:18,0.0,1,20,14,0,0.175,3650,1391,34.7,190.0,T14,6.5,F14,45.0
27,15:03:22,4.0,3,36,47,0,0.147,4138,1319,32.4,220.7,T15,18.8,T14,36.6
28,15:03:28,0.0,1,35,32,0,0.026,4070,1391,36.4,213.8,T15,24.8,T14,29.3
29,15:03:30,23.9,13,35,37,0,0.205,4163,1335,33.5,221.4,T15,17.8,T14,37.1
30,15:03:56,2.1,2,14,16,0,0.218,4091,1200,24.6,222.8,T15,20.8,T14,40.5
31,15:04:08,2.0,2,5,2,0,0.303,449,2313,64.9,45.6,V11,10.1,T11,35.2
32,15:04:36,0.0,1,8,4,0,0.063,1647,2195,62.8,86.7,F12,20.4,T12,26.6
33,15:04:40,0.0,1,13,6,0,0.132,1716,2235,63.8,89.7,F12,17.4,T12,28.7
34,15:04:42,0.0,1,17,18,0,0.054,1801,2288,65.0,93.3,F12,13.8,T12,31.6
35,15:04:44,12.0,7,12,9,0,0.416,1733,2397,66.8,91.8,F12,13.9,T12,32.4
36,15:04:58,1.9,2,10,9,0,0.398,1670,2419,67.1,89.9,F12,15.5,T12,31.8
37,15:05:02,0.0,1,20,24,0,0.368,1759,2312,65.4,91.9,F12,14.6,T12,31.2
38,15:05:04,8.1,5,11,11,0,0.426,1674,2421,67.1,90.0,F12,15.3,T12,31.9
39,15:05:14,0.0,1,6,5,0,0.376,1763,2428,67.3,93.1,F12,12.6,T12,33.4
40,15:05:22,0.0,1,4,1,0,0.103,3297,2209,66.6,150.9,V13,10.1,T13,34.9
41,15:05:26,0.0,1,15,13,0,0.298,3364,2300,68.7,151.5,V13,8.2,T13,37.0
42,15:05:28,0.0,1,13,10,0,0.242,3330,2135,64.9,154.0,V13,10.0,T13,35.5
43,15:05:30,2.0,2,27,31,0,0.336,3242,2227,66.8,148.4,V13,11.8,T13,33.7
44,15:05:34,0.0,1,25,24,0,0.062,3125,2155,64.8,145.2,V13,15.6,T13,30.3
45,15:05:36,0.0,1,25,0,0,0.179,3201,2207,66.3,147.2,V13,13.1,T13,32.6
46,15:05:38,0.0,1,26,24,0,0.072,3166,2137,64.5,147.2,V13,14.2,T13,31.1
47,15:05:40,18.0,10,27,29,0,0.374,3242,2235,67.0,148.2,V13,11.8,T13,33.8
48,15:06:00,0.0,1,16,16,0,0.27,3147,2213,66.2,144.9,V13,15.0,T13,31.5
49,15:06:02,0.0,1,13,10,0,0.063,4113,1943,62.0,194.1,F14,21.4,T14,25.6
50,15:06:04,0.0,1,12,7,0,0.234,4267,2065,66.6,196.0,F14,17.4,T14,30.6
51,15:06:06,4.1,3,9,7,0,0.343,4285,2000,64.7,199.5,F14,15.4,T14,30.4
52,15:06:12,21.8,12,11,6,0,0.359,4312,2046,66.2,198.8,F14,15.1,T14,31.4
53,15:06:36,0.0,1,6,2,0,0.209,4433,1954,63.9,208.2,F14,10.9,T14,34.9
54,15:06:45,0.0,1,5,3,0,0.091,650,2341,65.4,53.4,V11,9.6,T12,35.7
55,15:06:47,18.0,10,5,3,0,0.351,67,2458,67.5,38.4,V11,13.0,T11,33.3
56,15:07:07,0.0,1,6,3,0,0.062,479,2218,62.9,43.4,V11,12.9,T11,32.3
57,15:07:10,0.0,1,4,3,0,0.151,59,2454,67.5,38.0,V11,13.4,T11,33.1
58,15:08:56,0.0,1,7,3,0,0.307,2426,2214,64.4,116.8,F12,16.4,T13,29.7
59,15:08:58,20.0,11,27,38,0,0.376,2459,2263,65.6,117.8,F12,16.6,T13,30.2
