idx,clock,dur_s,samples,max_markers,max_corners,bw_IR,sat_frac,px_x,px_y,field_in_x,field_in_y,station,dist_in,station2,dist2_in
1,15:22:32,26.0,14,35,51,0,0.104,97,335,,,,,,
2,15:23:00,0.0,1,19,25,0,0.022,677,124,,,,,,
3,15:23:02,16.0,9,41,64,0,0.132,870,219,,,,,,
4,15:23:20,0.0,1,5,0,0,0.011,1914,48,,,,,,
5,15:23:26,26.0,14,36,56,0,0.098,1927,162,,,,,,
6,15:24:00,18.0,10,6,5,0,0.116,2517,86,,,,,,
7,15:24:24,0.0,1,24,35,0,0.001,249,220,,,,,,
8,15:25:06,0.0,1,41,57,0,0.029,404,934,,,,,,
9,15:25:08,20.0,11,48,73,0,0.058,400,865,,,,,,
10,15:25:32,4.0,3,21,28,0,0.091,1494,246,,,,,,
11,15:25:40,8.0,5,42,65,0,0.123,1403,262,,,,,,
12,15:25:50,0.0,1,11,9,0,0.011,2459,646,,,,,,
13,15:25:54,0.0,1,10,11,0,0.023,2394,500,,,,,,
14,15:25:56,0.0,1,9,9,0,0.015,2458,905,,,,,,
15,15:25:58,14.0,8,44,70,0,0.039,2425,692,,,,,,
16,15:26:14,0.0,1,31,47,0,0.025,2442,629,,,,,,
17,15:26:54,20.0,11,43,61,0,0.103,116,1558,,,,,,
18,15:27:16,0.0,1,24,35,0,0.022,184,1793,,,,,,
19,15:27:18,0.0,1,41,60,0,0.034,566,1656,,,,,,
20,15:27:20,22.0,12,41,58,0,0.075,578,1582,,,,,,
21,15:27:44,0.0,1,30,46,0,0.003,397,1735,,,,,,
22,15:27:46,0.0,1,37,53,0,0.025,2312,1474,,,,,,
23,15:27:48,0.0,1,35,55,0,0.062,2113,1159,,,,,,
24,15:27:50,12.1,7,54,88,0,0.064,2116,1257,,,,,,
25,15:28:04,0.0,1,45,72,0,0.04,2383,1458,,,,,,
26,15:28:06,4.0,2,8,8,0,0.05,2487,1344,,,,,,
27,15:28:12,12.0,7,19,23,0,0.083,2492,1165,,,,,,
28,15:32:16,0.0,1,9,6,0,0.0,2359,194,,,,,,
